Case ID,Activity,Complete Timestamp,Variant,Variant index
Case 1,3,2011/10/01 19:45:13.000,Variant 5,5
Case 1,5,2011/10/01 20:17:08.000,Variant 5,5
Case 1,6,2011/10/13 18:37:37.000,Variant 5,5
Case 2,3,2011/10/01 19:43:13.000,Variant 8,8
Case 2,5,2011/10/01 22:36:25.000,Variant 8,8
Case 2,6,2011/10/10 19:30:54.000,Variant 8,8
Case 2,6,2011/10/10 22:17:34.000,Variant 8,8
Case 3,3,2011/10/01 19:35:59.000,Variant 5,5
Case 3,5,2011/10/03 21:44:21.000,Variant 5,5
Case 3,6,2011/11/05 01:05:01.000,Variant 5,5
Case 4,3,2011/10/01 19:40:24.000,Variant 3,3
Case 4,3,2011/10/01 21:02:12.000,Variant 3,3
Case 5,1,2011/10/01 18:16:49.000,Variant 4,4
Case 5,3,2011/10/01 19:50:14.000,Variant 4,4
Case 5,3,2011/10/01 23:00:02.000,Variant 4,4
Case 6,3,2011/10/01 18:27:07.000,Variant 3,3
Case 6,3,2011/11/01 18:15:08.000,Variant 3,3
Case 7,1,2011/10/01 18:10:25.000,Variant 4,4
Case 7,3,2011/10/01 21:03:35.000,Variant 4,4
Case 7,3,2011/10/03 22:42:55.000,Variant 4,4
Case 8,3,2011/10/01 19:46:06.000,Variant 5,5
Case 8,5,2011/10/09 00:38:17.000,Variant 5,5
Case 8,6,2011/10/13 19:05:28.000,Variant 5,5
Case 9,3,2011/10/01 18:44:43.000,Variant 18,18
Case 9,5,2011/10/01 18:44:58.000,Variant 18,18
Case 9,6,2011/10/13 20:36:12.000,Variant 18,18
Case 9,4,2011/10/13 21:05:42.000,Variant 18,18
Case 9,6,2011/10/19 16:53:21.000,Variant 18,18
Case 9,4,2011/10/19 17:17:01.000,Variant 18,18
Case 9,6,2011/10/27 17:18:01.000,Variant 18,18
Case 10,3,2011/10/01 19:20:50.000,Variant 15,15
Case 10,5,2011/10/01 19:22:52.000,Variant 15,15
Case 10,6,2011/10/10 18:06:09.000,Variant 15,15
Case 10,4,2011/10/10 18:20:04.000,Variant 15,15
Case 10,4,2011/10/11 00:28:29.000,Variant 15,15
Case 11,1,2011/10/01 20:12:27.000,Variant 4,4
Case 11,3,2011/10/01 21:27:08.000,Variant 4,4
Case 11,3,2011/10/03 23:48:20.000,Variant 4,4
Case 12,3,2011/10/01 21:55:31.000,Variant 32,32
Case 12,5,2011/10/01 23:48:39.000,Variant 32,32
Case 12,6,2011/10/19 21:20:05.000,Variant 32,32
Case 12,4,2011/10/19 21:32:57.000,Variant 32,32
Case 12,6,2011/10/20 18:08:56.000,Variant 32,32
Case 12,4,2011/10/20 18:27:48.000,Variant 32,32
Case 12,6,2011/10/20 20:00:47.000,Variant 32,32
Case 12,4,2011/10/20 20:32:33.000,Variant 32,32
Case 12,6,2011/10/21 14:15:05.000,Variant 32,32
Case 12,6,2011/10/21 17:08:21.000,Variant 32,32
Case 13,1,2011/10/01 22:54:56.000,Variant 1,1
Case 14,3,2011/10/01 23:40:09.000,Variant 7,7
Case 14,5,2011/10/04 20:59:22.000,Variant 7,7
Case 14,6,2011/10/13 18:49:09.000,Variant 7,7
Case 14,4,2011/10/13 19:03:37.000,Variant 7,7
Case 14,6,2011/10/18 20:01:37.000,Variant 7,7
Case 15,3,2011/10/01 23:27:27.000,Variant 7,7
Case 15,5,2011/10/02 00:00:21.000,Variant 7,7
Case 15,6,2011/10/13 21:12:26.000,Variant 7,7
Case 15,4,2011/10/14 04:01:47.000,Variant 7,7
Case 15,6,2011/10/15 00:22:55.000,Variant 7,7
Case 16,1,2011/10/01 22:56:22.000,Variant 4,4
Case 16,3,2011/10/01 23:50:01.000,Variant 4,4
Case 16,3,2011/10/14 23:52:09.000,Variant 4,4
Case 17,1,2011/10/01 23:21:27.000,Variant 25,25
Case 17,3,2011/10/01 23:58:47.000,Variant 25,25
Case 17,5,2011/10/08 20:45:59.000,Variant 25,25
Case 18,1,2011/10/01 23:24:17.000,Variant 6,6
Case 18,3,2011/10/01 23:57:08.000,Variant 6,6
Case 18,5,2011/10/02 00:39:20.000,Variant 6,6
Case 18,5,2011/10/04 00:44:24.000,Variant 6,6
Case 19,3,2011/10/01 23:34:03.000,Variant 5,5
Case 19,5,2011/10/07 20:40:20.000,Variant 5,5
Case 19,6,2011/10/11 18:39:37.000,Variant 5,5
Case 20,3,2011/10/01 23:44:41.000,Variant 55,55
Case 20,2,2011/10/14 22:26:59.000,Variant 55,55
Case 20,2,2011/10/14 22:28:41.000,Variant 55,55
Case 21,3,2011/10/02 00:01:45.000,Variant 5,5
Case 21,5,2011/10/08 20:34:58.000,Variant 5,5
Case 21,6,2011/10/14 23:41:11.000,Variant 5,5
Case 22,1,2011/10/02 00:38:43.000,Variant 1,1
Case 23,3,2011/10/02 00:45:56.000,Variant 3,3
Case 23,3,2011/10/07 04:52:12.000,Variant 3,3
Case 24,3,2011/10/03 17:20:05.000,Variant 3,3
Case 24,3,2011/10/03 18:38:04.000,Variant 3,3
Case 25,1,2011/10/03 17:04:57.000,Variant 1,1
Case 26,3,2011/10/03 17:25:12.000,Variant 11,11
Case 27,3,2011/10/03 17:19:46.000,Variant 32,32
Case 27,5,2011/10/12 04:42:59.000,Variant 32,32
Case 27,6,2011/10/19 21:25:05.000,Variant 32,32
Case 27,4,2011/10/19 22:41:13.000,Variant 32,32
Case 27,6,2011/10/28 17:50:08.000,Variant 32,32
Case 27,4,2011/10/28 19:54:32.000,Variant 32,32
Case 27,6,2011/10/31 18:38:48.000,Variant 32,32
Case 27,4,2011/11/01 00:36:47.000,Variant 32,32
Case 27,6,2011/11/11 19:25:50.000,Variant 32,32
Case 27,6,2011/11/15 21:50:36.000,Variant 32,32
Case 28,3,2011/10/03 17:31:09.000,Variant 2,2
Case 28,5,2011/10/03 17:36:45.000,Variant 2,2
Case 28,5,2011/10/20 02:51:57.000,Variant 2,2
Case 29,3,2011/10/03 17:26:12.000,Variant 8,8
Case 29,5,2011/10/03 17:31:22.000,Variant 8,8
Case 29,6,2011/10/08 01:31:10.000,Variant 8,8
Case 29,6,2011/10/10 22:22:43.000,Variant 8,8
Case 30,3,2011/10/03 17:29:52.000,Variant 13,13
Case 30,5,2011/10/03 22:58:24.000,Variant 13,13
Case 30,6,2011/10/18 18:17:36.000,Variant 13,13
Case 30,4,2011/10/18 18:55:09.000,Variant 13,13
Case 30,6,2011/10/18 19:18:19.000,Variant 13,13
Case 30,6,2011/10/18 19:25:11.000,Variant 13,13
Case 31,3,2011/10/03 17:32:18.000,Variant 2,2
Case 31,5,2011/10/11 01:23:27.000,Variant 2,2
Case 31,5,2011/10/11 01:23:56.000,Variant 2,2
Case 32,3,2011/10/03 17:35:35.000,Variant 3,3
Case 32,3,2011/10/05 02:30:30.000,Variant 3,3
Case 33,1,2011/10/03 17:07:20.000,Variant 1,1
Case 34,3,2011/10/03 17:37:47.000,Variant 2,2
Case 34,5,2011/10/03 17:59:31.000,Variant 2,2
Case 34,5,2011/11/03 18:15:16.000,Variant 2,2
Case 35,1,2011/10/03 17:09:15.000,Variant 6,6
