Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
Case 1,Queued-Awaiting Assignment,Value 1,2006/01/11 23:49:42.000,Variant 77,77,Queued,High,Awaiting Assignment,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
Case 1,Accepted-In Progress,Value 1,2012/03/15 19:53:52.000,Variant 77,77,Accepted,High,In Progress,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
Case 1,Accepted-Assigned,Value 1,2012/03/15 19:56:17.000,Variant 77,77,Accepted,High,Assigned,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
Case 1,Accepted-In Progress,Value 1,2012/03/15 20:09:05.000,Variant 77,77,Accepted,High,In Progress,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
Case 1,Completed-Closed,Value 1,2012/03/15 20:11:33.000,Variant 77,77,Completed,High,Closed,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
Case 2,Accepted-In Progress,Value 2,2006/11/07 18:00:36.000,Variant 78,78,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 2,Accepted-In Progress,Value 2,2006/11/07 21:05:44.000,Variant 78,78,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 2,Accepted-Wait,Value 2,2009/12/02 22:24:32.000,Variant 78,78,Accepted,Medium,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 2,Accepted-In Progress,Value 2,2011/09/03 14:09:09.000,Variant 78,78,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 2,Accepted-In Progress,Value 3,2012/01/20 18:23:24.000,Variant 78,78,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
Case 2,Completed-Closed,Value 3,2012/01/20 18:23:27.000,Variant 78,78,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
Case 3,Accepted-In Progress,Value 2,2007/03/20 17:06:25.000,Variant 23,23,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 3,Accepted-Wait,Value 2,2009/12/02 22:24:31.000,Variant 23,23,Accepted,Medium,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 3,Accepted-In Progress,Value 2,2011/09/03 14:10:53.000,Variant 23,23,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 3,Accepted-In Progress,Value 3,2012/01/18 16:52:41.000,Variant 23,23,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
Case 3,Completed-Closed,Value 3,2012/01/18 16:52:43.000,Variant 23,23,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
Case 4,Accepted-In Progress,Value 2,2007/05/10 23:21:54.000,Variant 23,23,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 4,Accepted-Wait,Value 2,2009/12/02 22:24:33.000,Variant 23,23,Accepted,Low,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 4,Accepted-In Progress,Value 2,2011/09/03 14:10:59.000,Variant 23,23,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
Case 4,Accepted-In Progress,Value 3,2012/01/18 16:20:53.000,Variant 23,23,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
Case 4,Completed-Closed,Value 3,2012/01/18 16:21:10.000,Variant 23,23,Completed,Low,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
Case 5,Accepted-In Progress,Value 4,2007/07/25 21:21:05.000,Variant 37,37,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
